OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 1844,1987-041A,2025-12-05T03:17:00.326112,14.14527380,.00303181,70.8986,233.6067,169.2961,190.8813,0,U,17973,999,99021,-.35907362E-4,-.118E-5,0
SL-14 R/B,1987-055B,2025-12-05T07:29:39.664896,14.85509141,.001989,82.5000,77.9878,329.1778,30.8268,0,U,18153,999,5592,.10855506E-3,.964E-5,0
COSMOS 1867,1987-060A,2025-12-04T23:42:31.251744,14.31484268,.00136295,65.0098,211.9110,270.3400,89.6122,0,U,18187,999,638,.57682014E-4,.53E-6,0
SL-14 R/B,1988-001B,2025-12-05T07:13:55.718112,14.85411482,.00178006,82.5127,284.1438,185.5713,174.5308,0,U,18749,999,2801,.10865661E-3,.962E-5,0
COSMOS 1933,1988-020A,2025-12-05T02:26:23.200224,15.17012254,.00052714,82.5125,344.4258,147.6980,212.4577,0,U,18958,999,3588,.44514099E-3,.883E-4,0
SL-3 R/B,1988-032B,2025-12-05T05:14:33.810432,15.18624718,.00259207,97.5069,317.9917,199.4277,160.5972,0,U,19046,999,3776,.44378314E-3,.9201E-4,0
SL-16 R/B,1988-039B,2025-12-05T04:58:36.261696,14.19594406,.00199375,71.0150,268.3243,129.0327,231.2577,0,U,19120,999,94497,.13000207E-3,.227E-5,0
COSMOS 1953,1988-050A,2025-12-05T04:01:38.042688,15.26804604,.00138121,82.5103,253.1773,94.4914,265.7902,0,U,19210,999,2335,.46574354E-3,.12337E-3,0
SL-8 R/B,1988-053B,2025-12-05T07:39:52.029216,14.38851898,.00191596,74.0476,286.3955,133.2510,339.8629,0,U,19257,999,96302,.16836128E-3,.493E-5,0
COSMOS 1975,1988-093A,2025-12-05T02:39:34.631136,15.26307367,.00123291,82.5211,212.4647,136.6238,223.5973,0,U,19573,999,497,.56799758E-3,.14811E-3,0
SL-14 R/B,1988-093B,2025-12-05T00:52:26.205024,14.85536269,.00205882,82.5298,130.8962,355.5311,104.9637,0,U,19574,999,98698,.11058452E-3,.982E-5,0
SL-16 R/B,1988-102B,2025-12-05T07:46:53.395104,14.16137146,.00133019,71.0002,350.0468,164.3923,195.7613,0,U,19650,999,91353,-.49584553E-4,-.146E-5,0
INTERCOSMOS 24,1989-080A,2025-12-05T06:37:27.683040,12.59418313,.11887569,82.6046,165.8057,151.8291,215.2715,0,U,20261,999,65491,.42560785E-3,.1464E-4,0
SL-14 R/B,1989-080C,2025-12-05T03:26:57.524640,12.50404389,.12307778,82.5937,233.8959,40.9445,327.7757,0,U,20262,999,64833,.23070631E-3,.787E-5,0
DELTA 1 R/B,1989-089B,2025-12-05T04:33:29.438784,14.50562867,.00704861,97.0757,196.6237,61.7360,299.0929,0,U,20323,999,88203,.17821441E-3,.686E-5,0
ARIANE 40 R/B,1990-005H,2025-12-05T03:56:35.552832,14.39790007,.00110646,98.3255,37.5560,126.4648,233.7561,0,U,20443,999,87920,.23320196E-3,.689E-5,0
DELTA 2 R/B(1),1990-008B,2025-12-05T07:39:19.514304,15.44396047,.01120379,35.6069,68.4238,110.7477,250.5302,0,U,20453,999,91148,.85375899E-3,.51911E-3,0
COSMOS 2058,1990-010A,2025-12-05T04:56:01.919328,15.10359068,.00083989,82.4634,140.4417,305.1903,54.8540,0,U,20465,999,92797,.4946174E-3,.8149E-4,0
SL-14 R/B,1990-010B,2025-12-05T07:49:08.360544,14.83460749,.00183626,82.5021,356.0107,249.2906,110.6341,0,U,20466,999,91449,.98870095E-4,.838E-5,0
SL-14 R/B,1990-018B,2025-12-05T07:41:25.198656,14.82034472,.00175208,82.5203,311.2997,46.5104,313.7563,0,U,20511,999,90860,.11219605E-3,.916E-5,0
HST,1990-037B,2025-12-05T06:44:31.368768,15.27889575,.00020162,28.4702,323.2508,153.2318,206.8381,0,U,20580,999,75885,.43905019E-3,.12538E-3,0
SL-16 R/B,1990-046B,2025-12-04T19:52:50.277216,14.14999306,.00118851,70.9984,137.1362,87.8797,272.3686,0,U,20625,999,83497,.16443326E-3,.271E-5,0
COSMOS 2084,1990-055A,2025-12-05T06:13:14.700288,15.04944158,.00328773,62.7914,297.4799,173.7289,186.4229,0,U,20663,999,92210,.42427413E-3,.5913E-4,0
SL-6 R/B(2),1990-055D,2025-12-05T02:47:41.596224,15.03024289,.00120118,62.7830,215.3175,302.7582,57.2358,0,U,20666,999,92397,.36724746E-3,.4782E-4,0
SL-8 R/B,1990-078B,2025-12-05T06:07:54.679872,14.85472876,.03744414,82.9040,336.0078,331.0806,27.0102,0,U,20775,999,79526,.10564599E-2,.34122E-3,0
SL-8 R/B,1991-006B,2025-12-05T06:43:49.706688,13.77488841,.00214689,82.9430,240.2608,301.9034,174.8450,0,U,21088,999,75107,.11084589E-3,.125E-5,0
OKEAN-3,1991-039A,2025-12-05T07:08:33.285408,15.04043066,.00129988,82.5187,68.2507,293.0614,66.9241,0,U,21397,999,85084,.45398719E-3,.6316E-4,0
COSMOS 2151,1991-042A,2025-12-05T06:48:28.720800,14.99642651,.00132739,82.4955,174.6881,24.3700,335.8148,0,U,21422,999,84904,.30550855E-3,.3795E-4,0
SL-14 R/B,1991-042B,2025-12-05T06:52:03.166464,14.81727821,.00167868,82.4919,308.7131,186.1648,173.9362,0,U,21423,999,83909,.99646049E-4,.81E-5,0
ERS-1,1991-050A,2025-12-05T00:29:51.209376,14.39355770,.00328504,98.7907,349.8824,122.2305,238.2073,0,U,21574,999,80211,.22607939E-3,.661E-5,0
ARIANE 40 R/B,1991-050F,2025-12-05T03:47:32.802720,14.42803930,.00032584,98.2175,29.8618,21.7357,338.3971,0,U,21610,999,80536,.24512929E-3,.776E-5,0
INTERCOSMOS 25,1991-086A,2025-12-05T02:56:11.948928,12.11688735,.1486926,82.6072,7.1824,320.8307,29.3762,0,U,21819,999,48523,.74547127E-3,.3755E-4,0
SL-8 R/B,1992-008B,2025-12-05T02:51:25.667712,13.75956610,.00356097,82.9263,338.1155,40.6462,32.0984,0,U,21876,999,69641,.18242634E-3,.193E-5,0
SL-8 R/B,1992-020B,2025-12-05T05:08:37.138272,13.75525074,.00284204,82.9312,223.9052,199.4147,276.5316,0,U,21938,999,68814,.9134223E-4,.103E-5,0
USA 81,1992-023A,2025-12-05T06:42:36.876672,14.32322871,.00017447,85.0087,185.8785,62.4611,297.6758,0,U,21949,999,8127,.11831591E-3,.339E-5,0
COSMOS 2219,1992-076A,2025-12-05T02:02:03.798816,14.14063604,.00189018,71.0591,215.8347,337.2312,22.7970,0,U,22219,999,70500,-.51221327E-4,-.145E-5,0
SL-16 R/B,1992-076B,2025-12-05T07:20:30.700896,14.16841628,.00150339,71.0015,27.1913,244.1211,186.1661,0,U,22220,999,70846,.9668562E-5,-.29E-6,0
COSMOS 2221,1992-080A,2025-12-05T04:35:40.015104,14.95717134,.00154832,82.5046,9.5508,145.3214,214.9021,0,U,22236,999,76666,.31342376E-3,.3522E-4,0
SL-16 R/B,1992-093B,2025-12-04T23:17:10.566816,14.15425732,.0001968,71.0202,203.1052,95.9635,264.1712,0,U,22285,999,69975,.31002E-4,.13E-6,0
COSMOS 2228,1992-094A,2025-12-05T06:27:52.493184,14.96675173,.00163185,82.5170,327.6826,258.7881,101.1507,0,U,22286,999,76193,.40024066E-3,.4603E-4,0
SL-16 R/B,1993-016B,2025-12-05T06:48:52.971552,14.15288286,.00078043,71.0090,53.4625,111.8750,248.3203,0,U,22566,999,68881,-.69098477E-4,-.182E-5,0
COSMOS 2242,1993-024A,2025-12-05T03:28:35.304384,14.96059237,.00147777,82.5192,357.1048,262.4799,97.4744,0,U,22626,999,76625,.41964985E-3,.4747E-4,0
SL-16 R/B,1993-059B,2025-12-05T02:37:20.775072,14.17211337,.00175355,70.9897,210.5766,346.7816,13.2846,0,U,22803,999,66613,.19012453E-3,.336E-5,0
ARIANE 40 R/B,1993-061H,2025-12-05T05:10:53.552640,14.32793782,.00104475,98.5086,44.8824,198.4835,161.5971,0,U,22830,999,68057,.21562142E-3,.545E-5,0
COSMOS 2278,1994-023A,2025-12-05T07:43:35.945184,14.14351298,.00087313,71.0550,12.5302,191.1996,168.8933,0,U,23087,999,63146,.19656911E-4,-.1E-6,0
SL-16 R/B,1994-023B,2025-12-05T06:28:58.255680,14.14999493,.00010768,71.0004,269.1717,61.7401,298.3831,0,U,23088,999,63273,.21690716E-3,.372E-5,0
