OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTERCOSMOS 24,1989-080A,2025-12-06T15:02:25.495008,12.59422521,.11887646,82.6045,164.9275,148.6971,219.0830,0,U,20261,999,65508,.46453043E-3,.1596E-4,0
SL-14 R/B,1989-080C,2025-12-06T15:55:57.297504,12.50406420,.1230751,82.5936,232.9203,37.4709,330.6044,0,U,20262,999,64852,.22974395E-3,.783E-5,0
DELTA 1 R/B,1989-089B,2025-12-06T15:19:27.034176,14.50564935,.00704404,97.0757,197.8428,57.2460,303.5501,0,U,20323,999,88224,.18346419E-3,.707E-5,0
ARIANE 40 R/B,1990-005H,2025-12-06T14:58:07.152096,14.39791851,.00111405,98.3251,38.9742,122.3974,237.8294,0,U,20443,999,87941,.22935232E-3,.677E-5,0
DELTA 2 R/B(1),1990-008B,2025-12-06T14:40:57.320256,15.44538257,.01118342,35.6069,60.0846,122.6518,238.5061,0,U,20453,999,91168,.10150321E-2,.62079E-3,0
COSMOS 2058,1990-010A,2025-12-06T09:33:15.149664,15.10378227,.0008342,82.4642,139.2686,300.1610,59.8793,0,U,20465,999,92815,.48099437E-3,.7929E-4,0
SL-14 R/B,1990-010B,2025-12-06T11:20:21.248160,14.83462863,.00183937,82.5021,354.9337,245.2353,114.6948,0,U,20466,999,91466,.10569795E-3,.894E-5,0
SL-14 R/B,1990-018B,2025-12-06T14:28:39.974016,14.82036753,.00174695,82.5204,310.1005,42.5521,317.7043,0,U,20511,999,90879,.11684671E-3,.953E-5,0
HST,1990-037B,2025-12-06T07:49:26.387040,15.27914955,.00019714,28.4701,316.1394,164.3487,195.7169,0,U,20580,999,75901,.44335219E-3,.12669E-3,0
SL-16 R/B,1990-046B,2025-12-06T15:59:33.802080,14.15000194,.00118898,70.9986,133.2759,84.6775,275.5704,0,U,20625,999,83523,.1123653E-3,.17E-5,0
COSMOS 2084,1990-055A,2025-12-06T14:06:52.176960,15.04958958,.00326777,62.7914,292.9524,173.9622,186.1879,0,U,20663,999,92230,.38283082E-3,.5316E-4,0
SL-6 R/B(2),1990-055D,2025-12-06T15:31:10.561728,15.03036024,.00121238,62.7826,210.1188,304.1199,55.8749,0,U,20666,999,92420,.304808E-3,.3936E-4,0
SL-8 R/B,1990-078B,2025-12-06T14:27:46.144224,14.85562035,.03739671,82.9042,334.8020,326.5501,31.2581,0,U,20775,999,79546,.10723133E-2,.34632E-3,0
SL-8 R/B,1991-006B,2025-12-06T15:35:35.738016,13.77489125,.00214063,82.9431,239.2424,297.9127,125.2177,0,U,21088,999,75126,.12079875E-3,.135E-5,0
OKEAN-3,1991-039A,2025-12-06T15:04:35.284224,15.04058048,.00128797,82.5178,66.9628,288.6207,71.3620,0,U,21397,999,85104,.40782264E-3,.5678E-4,0
COSMOS 2151,1991-042A,2025-12-06T14:50:07.819584,14.99652544,.00131528,82.4958,173.4025,19.9118,340.2616,0,U,21422,999,84924,.3097103E-3,.3848E-4,0
SL-14 R/B,1991-042B,2025-12-06T15:16:55.810848,14.81730223,.0016899,82.4919,307.4464,181.6134,178.5028,0,U,21423,999,83929,.1061856E-3,.862E-5,0
ERS-1,1991-050A,2025-12-06T14:52:12.274464,14.39357363,.00328617,98.7906,351.5213,117.5941,242.8589,0,U,21574,999,80234,.20904938E-3,.608E-5,0
ARIANE 40 R/B,1991-050F,2025-12-06T14:44:41.313120,14.42805760,.00031687,98.2173,31.2657,18.5223,341.6082,0,U,21610,999,80557,.23405367E-3,.739E-5,0
INTERCOSMOS 25,1991-086A,2025-12-06T12:37:17.519808,12.11697468,.14868779,82.6071,6.3334,317.8003,31.7440,0,U,21819,999,48540,.61729856E-3,.3109E-4,0
SL-8 R/B,1992-008B,2025-12-06T10:39:47.031840,13.75957033,.00355502,82.9263,337.1297,37.0288,116.5523,0,U,21876,999,69659,.17988011E-3,.19E-5,0
SL-8 R/B,1992-020B,2025-12-06T15:46:55.026912,13.75525431,.00285124,82.9312,222.8336,195.3290,223.4676,0,U,21938,999,68834,.10777579E-3,.119E-5,0
USA 81,1992-023A,2025-12-06T14:33:58.889376,14.32323670,.00016689,85.0086,185.1131,62.3790,297.7572,0,U,21949,999,8146,.11683926E-3,.335E-5,0
COSMOS 2219,1992-076A,2025-12-06T15:23:05.176032,14.14063206,.00189463,71.0589,212.5816,335.0833,24.9372,0,U,22219,999,70522,-.45322226E-4,-.134E-5,0
SL-16 R/B,1992-076B,2025-12-06T14:02:24.050112,14.16841593,.00150099,71.0014,24.4971,242.5410,229.9604,0,U,22220,999,70864,-.1562408E-4,-.79E-6,0
COSMOS 2221,1992-080A,2025-12-06T14:18:41.942592,14.95725947,.00156179,82.5040,8.2058,140.7443,219.4915,0,U,22236,999,76687,.27624745E-3,.3108E-4,0
SL-16 R/B,1992-093B,2025-12-06T14:17:48.562080,14.15426000,.00020242,71.0202,199.6933,91.0409,269.0946,0,U,22285,999,69998,.71107837E-4,.91E-6,0
COSMOS 2228,1992-094A,2025-12-06T14:33:20.220192,14.96685624,.00162889,82.5173,326.4029,253.8567,106.0863,0,U,22286,999,76213,.33746936E-3,.3886E-4,0
SL-16 R/B,1993-016B,2025-12-06T15:02:38.169024,14.15287972,.00078117,71.0089,50.6424,109.3347,250.8621,0,U,22566,999,68900,-.66204651E-4,-.177E-5,0
COSMOS 2242,1993-024A,2025-12-06T13:11:09.371328,14.96068589,.00147975,82.5190,355.7621,257.2637,102.6931,0,U,22626,999,76646,.31444316E-3,.3564E-4,0
SL-16 R/B,1993-059B,2025-12-06T12:30:06.590304,14.17212257,.00176223,70.9898,207.5999,344.6763,15.3825,0,U,22803,999,66633,.16247257E-3,.28E-5,0
ARIANE 40 R/B,1993-061H,2025-12-06T14:42:06.391008,14.32795419,.00105278,98.5084,46.2539,194.1707,165.9183,0,U,22830,999,68077,.22136303E-3,.56E-5,0
COSMOS 2278,1994-023A,2025-12-06T09:11:15.598752,14.14351324,.00086564,71.0549,10.3108,189.7803,170.3153,0,U,23087,999,63161,.9861951E-5,-.28E-6,0
SL-16 R/B,1994-023B,2025-12-06T13:01:19.160832,14.15000462,.00011024,71.0007,266.4995,54.6686,305.4539,0,U,23088,999,63291,.19865842E-3,.337E-5,0
SL-16 R/B,1994-074B,2025-12-06T15:57:00.239040,14.79279419,.00071393,97.7207,10.2105,153.2787,320.2078,0,U,23343,999,67349,.14090211E-3,.999E-5,0
SL-16 R/B,1994-077B,2025-12-06T15:08:52.416672,14.15546456,.00045787,70.9811,188.2647,288.6333,71.4293,0,U,23405,999,60306,.11195416E-3,.171E-5,0
ARIANE 40+ R/B,1995-021B,2025-12-06T15:11:47.515776,14.39688414,.0007687,98.4659,48.2956,66.0279,60.1607,0,U,23561,999,60585,.22450874E-3,.659E-5,0
SL-16 R/B,1995-058B,2025-12-06T13:30:33.692544,14.15480905,.00149072,71.0225,15.7729,262.9688,96.9740,0,U,23705,999,55467,.1972231E-3,.338E-5,0
SL-16 R/B,1996-051B,2025-12-06T12:56:57.790464,14.12395702,.00192833,70.7598,12.4082,268.9708,90.9203,0,U,24298,999,50849,.60685309E-4,.63E-6,0
ORBVIEW 2 (SEASTAR),1997-037A,2025-12-06T10:23:00.673152,14.35410141,.0001968,98.8455,137.3484,1.8529,358.2663,0,U,24883,999,49509,.25063327E-3,.673E-5,0
SL-16 R/B,1998-043G,2025-12-06T14:58:24.446784,14.26023213,.00088755,98.8115,288.4080,286.5835,73.4370,0,U,25400,999,42572,.85247386E-4,.158E-5,0
SL-16 R/B,1998-045B,2025-12-06T13:10:27.469056,14.16175998,.00072603,71.0125,17.4462,187.2136,172.8884,0,U,25407,999,41391,.13323329E-4,-.21E-6,0
ISS (ZARYA),1998-067A,2025-12-06T13:01:49.374912,15.49366390,.00035502,51.6299,173.1600,211.9909,148.0864,0,U,25544,999,54189,.27332684E-3,.14832E-3,0
CZ-4B R/B,1999-025C,2025-12-06T14:55:57.627264,14.18241383,.00361514,98.6776,22.0388,252.0923,224.2255,0,U,25732,999,37497,.10330984E-3,.17E-5,0
